movie_name,genres
Zeher,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Back to top']"
Jhankaar Beats,"['Comedy', 'Music', 'Romance', 'Back to top']"
Fool N Final,"['Action', 'Comedy', 'Crime', 'Drama', 'Back to top']"
Bandhan,"['Action', 'Drama', 'Romance', 'Back to top']"
Daddy,"['Action', 'Biography', 'Crime', 'Drama', 'Back to top']"
Apna Sapna Money Money,"['Comedy', 'Musical', 'Romance', 'Back to top']"
Corporate,"['Drama', 'Back to top']"
Tridev,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Do Bigha Zamin,"['Drama', 'Back to top']"
Cookie,"['Horror', 'Back to top']"
Annamalai,"['Action', 'Comedy', 'Drama', 'Musical', 'Back to top']"
Style,"['Comedy', 'Musical', 'Mystery', 'Thriller', 'Back to top']"
Guest iin London,"['Comedy', 'Back to top']"
Ekkees Tareekh Shubh Muhurat,"['Comedy', 'Drama', 'Back to top']"
Ankur Arora Murder Case,"['Drama', 'Thriller', 'Back to top']"
Tirangaa,"['Action', 'Drama', 'Thriller', 'Back to top']"
Zamaana Deewana,"['Action', 'Comedy', 'Drama', 'Romance', 'Back to top']"
Khuda Gawah,"['Action', 'Adventure', 'Drama', 'Back to top']"
Yaadon Ki Baaraat,"['Action', 'Drama', 'Musical', 'Romance', 'Back to top']"
Om Jai Jagadish,"['Drama', 'Musical', 'Romance', 'Sci-Fi', 'Back to top']"
Bhavai,"['Drama', 'Romance', 'Back to top']"
Raju Chacha,"['Action', 'Comedy', 'Drama', 'Family', 'Back to top']"
Tango Charlie,"['Action', 'Adventure', 'Drama', 'War', 'Back to top']"
Akaash Vani,"['Drama', 'Romance', 'Back to top']"
Refugee,"['Drama', 'Musical', 'Romance', 'Back to top']"
Dushman,"['Action', 'Crime', 'Drama', 'Romance', 'Thriller', 'Back to top']"
22 Yards,"['Sport', 'Back to top']"
1920: Evil Returns,"['Supernatural Horror', 'Drama', 'Horror', 'Romance', 'Back to top']"
Albert Pinto Ko Gussa Kyun Aata Hai?,"['Drama', 'Back to top']"
Makdee,"['Comedy', 'Family', 'Fantasy', 'Horror', 'Thriller', 'Back to top']"
Raaz Reboot,"['Horror', 'Mystery', 'Thriller', 'Back to top']"
Junglee,"['One-Person Army Action', 'Action', 'Adventure', 'Thriller', 'Back to top']"
Prahaar: The Final Attack,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Khiladi 420,"['Action', 'Romance', 'Thriller', 'Back to top']"
Raja Kumarudu,"['Comedy', 'Drama', 'Romance', 'Back to top']"
The Power,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Family: Ties of Blood,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Jhootha Hi Sahi,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Samay: When Time Strikes,"['Crime', 'Mystery', 'Thriller', 'Back to top']"
Hawaizaada,"['Biography', 'Drama', 'Back to top']"
Rang Rasiya,"['Biography', 'Drama', 'Romance', 'Back to top']"
Love Sonia,"['Drama', 'Back to top']"
Yamla Pagla Deewana 2,"['Action', 'Comedy', 'Back to top']"
Khandaani Shafakhana,"['Comedy', 'Drama', 'Back to top']"
Revolver Rani,"['Dark Comedy', 'Action', 'Comedy', 'Crime', 'Drama', 'Romance', 'Back to top']"
Jewel Thief,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Back to top']"
"I, Me aur Main","['Comedy', 'Drama', 'Musical', 'Romance', 'Back to top']"
Dil Maange More!!!,"['Musical', 'Romance', 'Back to top']"
Saaransh,"['Drama', 'Back to top']"
Youngistaan,"['Drama', 'Romance', 'Back to top']"
Dil Ne Jise Apna Kaha,"['Drama', 'Romance', 'Back to top']"
Suhaag,"['Action', 'Comedy', 'Drama', 'Romance', 'Back to top']"
Horror Story,"['Horror', 'Back to top']"
Seeta Aur Geeta,"['Adventure', 'Comedy', 'Drama', 'Family', 'Musical', 'Romance', 'Back to top']"
Well Done Abba!,"['Comedy', 'Back to top']"
Kya Dilli Kya Lahore,"['Dark Comedy', 'Drama', 'History', 'War', 'Back to top']"
Hamara Dil Aapke Paas Hai,"['Action', 'Drama', 'Romance', 'Back to top']"
Bobby,"['Comedy', 'Drama', 'Musical', 'Romance', 'Back to top']"
Bhoomi,"['Action', 'Crime', 'Drama', 'Back to top']"
Hadh Kar Di Aapne,"['Comedy', 'Romance', 'Back to top']"
Dil Hai Tumhaara,"['Drama', 'Romance', 'Back to top']"
Aiyyaa,"['Comedy', 'Romance', 'Back to top']"
Rok Sako To Rok Lo,"['Drama', 'Romance', 'Sport', 'Back to top']"
Jaanam Samjha Karo,"['Drama', 'Romance', 'Back to top']"
Anaarkali of Aarah,"['Drama', 'Back to top']"
Aradhana,"['Drama', 'Musical', 'Romance', 'Back to top']"
Rajma Chawal,"['Comedy', 'Drama', 'Family', 'Back to top']"
Milenge Milenge,"['Drama', 'Romance', 'Back to top']"
Mirzya,"['Action', 'Drama', 'Fantasy', 'Romance', 'Back to top']"
Valley of Flowers,"['Adventure', 'Drama', 'Fantasy', 'Romance', 'Back to top']"
Yaarana,"['Action', 'Comedy', 'Drama', 'Musical', 'Back to top']"
"Good Boy, Bad Boy","['Comedy', 'Musical', 'Back to top']"
Musafir,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Aashiqui,"['Drama', 'Musical', 'Romance', 'Back to top']"
Chandni,"['Drama', 'Musical', 'Romance', 'Back to top']"
Kyun! Ho Gaya Na...,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Mard,"['Action', 'Comedy', 'Drama', 'Romance', 'Back to top']"
Do Ankhen Barah Haath,"['Comedy', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Sainikudu,"['Action', 'Drama', 'Back to top']"
Nanu Ki Jaanu,"['Comedy', 'Drama', 'Horror', 'Back to top']"
Ek Paheli Leela,"['Mystery', 'Romance', 'Thriller', 'Back to top']"
Get Educated: Paathshaala,"['Drama', 'Family', 'Back to top']"
Jhalki,"['Drama', 'Back to top']"
Delhi Safari,"['Animal Adventure', 'Adventure', 'Animation', 'Comedy', 'Family', 'Back to top']"
Hawaa Hawaai,"['Drama', 'Family', 'Sport', 'Back to top']"
Madam Chief Minister,"['Drama', 'Back to top']"
Sixteen,"['Drama', 'Romance', 'Thriller', 'Back to top']"
Aa Ab Laut Chalen,"['Drama', 'Musical', 'Romance', 'Back to top']"
Sangam,"['Drama', 'Musical', 'Romance', 'Back to top']"
Dil Ka Rishta,"['Drama', 'Musical', 'Romance', 'Back to top']"
Arjun: The Warrior Prince,"['Action', 'Adventure', 'Animation', 'Back to top']"
Alone,"['Horror', 'Back to top']"
Khubsoorat,"['Comedy', 'Drama', 'Family', 'Back to top']"
Amar Prem,"['Drama', 'Musical', 'Romance', 'Back to top']"
Yeh Lamhe Judaai Ke,"['Drama', 'Mystery', 'Romance', 'Thriller', 'Back to top']"
Aur Pappu Pass Ho Gaya,"['Comedy', 'Back to top']"
Naseeb,"['Action', 'Musical', 'Romance', 'Thriller', 'Back to top']"
Ardh Satya,"['Crime', 'Drama', 'Back to top']"
"Road, Movie","['Road Trip', 'Adventure', 'Comedy', 'Crime', 'Drama', 'Back to top']"
Army,"['Action', 'Drama', 'Back to top']"
Mohalla Assi,"['Comedy', 'Drama', 'Back to top']"
1920 London,"['Horror', 'Mystery', 'Back to top']"
Aks,"['Action', 'Crime', 'Horror', 'Thriller', 'Back to top']"
Halahal,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Back to top']"
Veergati,"['Action', 'Drama', 'Back to top']"
Tigers,"['Drama', 'Back to top']"
P Se Pyaar F Se Faraar,"['True Crime', 'Crime', 'Drama', 'Romance', 'Back to top']"
Nishabd,"['Drama', 'Back to top']"
Diljale,"['Action', 'Drama', 'Romance', 'Back to top']"
Chittagong,"['Action', 'Drama', 'War', 'Back to top']"
Chameli Ki Shaadi,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Collar Bomb,"['Action', 'Thriller', 'Back to top']"
Oh Darling Yeh Hai India,"['Satire', 'Comedy', 'Back to top']"
Namak Haraam,"['Drama', 'Back to top']"
Tum Mile,"['Drama', 'Romance', 'Back to top']"
Kadakh,"['Comedy', 'Drama', 'Thriller', 'Back to top']"
Ek Ajnabee,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Main Aur Charles,"['Action', 'Biography', 'Crime', 'Back to top']"
Sahib Bibi Aur Ghulam,"['Drama', 'Musical', 'Back to top']"
The Xpose,"['Drama', 'Mystery', 'Romance', 'Thriller', 'Back to top']"
Dosti,"['Drama', 'Family', 'Musical', 'Back to top']"
Aap Kaa Surroor: The Moviee - The Real Luv Story,"['Drama', 'Romance', 'Thriller', 'Back to top']"
Dum,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Ek Rishtaa: The Bond of Love,"['Drama', 'Back to top']"
Ziddi,"['Action', 'Drama', 'Back to top']"
Chalti Ka Naam Gaadi,"['Screwball Comedy', 'Comedy', 'Musical', 'Romance', 'Back to top']"
Tu Hai Mera Sunday,"['Comedy', 'Drama', 'Back to top']"
"Gandhi, My Father","['Biography', 'Drama', 'History', 'Back to top']"
Aashiq Banaya Aapne: Love Takes Over,"['Drama', 'Romance', 'Thriller', 'Back to top']"
Chaalbaaz,"['Action', 'Comedy', 'Drama', 'Family', 'Musical', 'Thriller', 'Back to top']"
Hum Aapke Dil Mein Rehte Hain,"['Drama', 'Romance', 'Back to top']"
Love Ke Liye Kuch Bhi Karega,"['Dark Comedy', 'Comedy', 'Crime', 'Romance', 'Back to top']"
House Arrest,"['Comedy', 'Back to top']"
Traffic Signal,"['Drama', 'Back to top']"
Dil Aashna Hai (...The Heart Knows),"['Drama', 'Romance', 'Back to top']"
Baaghi: A Rebel for Love,"['Action', 'Drama', 'Romance', 'Back to top']"
Family of Thakurganj,"['Action', 'Drama', 'Back to top']"
Khushi,"['Action', 'Comedy', 'Drama', 'Romance', 'Back to top']"
Nyay: The Justice,"['Drama', 'Back to top']"
American Desi,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Koshish,"['Drama', 'Back to top']"
Union Leader,"['Drama', 'Back to top']"
Hate Story IV,"['Erotic Thriller', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Dus Kahaniyaan,"['Drama', 'Back to top']"
Jabariya Jodi,"['Action', 'Comedy', 'Drama', 'Romance', 'Back to top']"
Lakshmi,"['Drama', 'Back to top']"
Ab Tumhare Hawale Watan Saathiyo,"['Action', 'Drama', 'War', 'Back to top']"
200: Halla Ho,"['Crime', 'History', 'Thriller', 'Back to top']"
Waqt Hamara Hai,"['Parody', 'Action', 'Comedy', 'Romance', 'Thriller', 'Back to top']"
Kachche Dhaage,"['Action', 'Drama', 'Thriller', 'Back to top']"
All Is Well,"['Comedy', 'Drama', 'Romance', 'Back to top']"
China Gate,"['Action', 'Adventure', 'Drama', 'Thriller', 'Western', 'Back to top']"
Ahista Ahista,"['Drama', 'Romance', 'Back to top']"
Zubeidaa,"['Biography', 'Drama', 'History', 'Musical', 'Romance', 'Back to top']"
Zameen,"['Action', 'Adventure', 'Thriller', 'Back to top']"
The Burning Train,"['Action', 'Thriller', 'Back to top']"
Eeb Allay Ooo!,"['Comedy', 'Drama', 'Back to top']"
Gumnaam,"['Musical', 'Mystery', 'Thriller', 'Back to top']"
Do Lafzon Ki Kahani,"['Martial Arts', 'Action', 'Drama', 'Romance', 'Sport', 'Back to top']"
Aarzoo,"['Action', 'Drama', 'Romance', 'Thriller', 'Back to top']"
Kaalia,"['Action', 'Drama', 'Back to top']"
Poster Boys,"['Comedy', 'Back to top']"
Indu Sarkar,"['Drama', 'Thriller', 'Back to top']"
Luv Ka the End,"['Comedy', 'Drama', 'Back to top']"
Blood Money,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Bhonsle,"['Drama', 'Back to top']"
Sirf Tum,"['Drama', 'Romance', 'Back to top']"
Noor,"['Adventure', 'Comedy', 'Drama', 'Romance', 'Back to top']"
Teen Patti,"['Crime', 'Drama', 'Thriller', 'Back to top']"
Kanpuriye,"['Drama', 'Back to top']"
Shimla Mirchi,"['Comedy', 'Romance', 'Back to top']"
Woh lamhe...,"['Biography', 'Drama', 'Romance', 'Back to top']"
Ijaazat,"['Drama', 'Musical', 'Romance', 'Back to top']"
Ram Singh Charlie,"['Drama', 'Back to top']"
Ankur,"['Drama', 'Back to top']"
Chain Kulii Ki Main Kulii,"['Comedy', 'Drama', 'Family', 'Fantasy', 'Sport', 'Back to top']"
Ajji,"['Crime', 'Drama', 'Back to top']"
Deewaar: Let's Bring Our Heroes Home,"['Action', 'Drama', 'Thriller', 'Back to top']"
Takkari Donga,"['Action', 'Adventure', 'Comedy', 'Western', 'Back to top']"
Aandhi,"['Drama', 'Romance', 'Back to top']"
Fight Club: Members Only,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Budhia Singh: Born to Run,"['Biography', 'Drama', 'Sport', 'Back to top']"
Prassthanam,"['Action', 'Drama', 'Back to top']"
Talaash: The Hunt Begins...,"['Action', 'Crime', 'Drama', 'Romance', 'Thriller', 'Back to top']"
Roadside Romeo,"['Computer Animation', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Music', 'Musical', 'Romance', 'Back to top']"
Kirket,"['Drama', 'Sport', 'Back to top']"
Saajan Chale Sasural,"['Comedy', 'Drama', 'Back to top']"
Love,"['Drama', 'Musical', 'Romance', 'Back to top']"
Umrika,"['Comedy', 'Drama', 'Back to top']"
Poorna,"['Mountain Adventure', 'Action', 'Adventure', 'Biography', 'Drama', 'Back to top']"
Swarg,"['Drama', 'Back to top']"
Policegiri,"['Action', 'Comedy', 'Crime', 'Back to top']"
Phool Aur Kaante,"['Action', 'Drama', 'Romance', 'Back to top']"
Hacked,"['Thriller', 'Back to top']"
Disco Dancer,"['Action', 'Drama', 'Musical', 'Romance', 'Back to top']"
Naqaab,"['Crime', 'Drama', 'Romance', 'Thriller', 'Back to top']"
Tony,"['Thriller', 'Back to top']"
Shabd,"['Drama', 'Thriller', 'Back to top']"
Arjun Patiala,"['Parody', 'Action', 'Comedy', 'Back to top']"
Creature,"['Monster Horror', 'Action', 'Horror', 'Sci-Fi', 'Back to top']"
Ek Doctor Ki Maut,"['Biography', 'Drama', 'Back to top']"
Hum Kisi Se Kum Nahin,"['Action', 'Comedy', 'Drama', 'Romance', 'Back to top']"
Madhumati,"['Fantasy', 'Musical', 'Mystery', 'Romance', 'Back to top']"
Saudagar,"['Action', 'Drama', 'Romance', 'Back to top']"
Arth,"['Drama', 'Romance', 'Back to top']"
Ab Tak Chhappan 2,"['Action', 'Crime', 'Thriller', 'Back to top']"
Chhappad Phaad Ke,"['Drama', 'Back to top']"
Aakhree Raasta,"['Action', 'Crime', 'Drama', 'Back to top']"
Karam,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Aamdani Atthanni Kharcha Rupaiya,"['Comedy', 'Drama', 'Family', 'Back to top']"
Sadda Adda,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Dev,"['Drama', 'Back to top']"
Tu Chor Main Sipahi,"['Action', 'Comedy', 'Drama', 'Back to top']"
Irada,"['Drama', 'Mystery', 'Thriller', 'Back to top']"
Vodka Diaries,"['Mystery', 'Thriller', 'Back to top']"
Cobalt Blue,"['Drama', 'Romance', 'Back to top']"
Mr. Natwarlal,"['Action', 'Comedy', 'Romance', 'Thriller', 'Back to top']"
Mirch Masala,"['Drama', 'Thriller', 'Back to top']"
Badal,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Zila Ghaziabad,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Dhaai Akshar Prem Ke,"['Drama', 'Romance', 'Back to top']"
Saawan... The Love Season,"['Drama', 'Fantasy', 'Romance', 'Back to top']"
Insan,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Bheja Fry 2,"['Comedy', 'Drama', 'Back to top']"
Run,"['Action', 'Comedy', 'Drama', 'Romance', 'Back to top']"
Haan Maine Bhi Pyaar Kiya,"['Drama', 'Musical', 'Romance', 'Back to top']"
Happy Phirr Bhag Jayegi,"['Comedy', 'Back to top']"
Happy Hardy and Heer,"['Comedy', 'Romance', 'Back to top']"
Waqt,"['Drama', 'Romance', 'Back to top']"
Sanam Bewafa,"['Drama', 'Romance', 'Back to top']"
Meri Jung,"['Action', 'Drama', 'Back to top']"
Always Kabhi Kabhi,"['Comedy', 'Crime', 'Drama', 'Romance', 'Back to top']"
Aflatoon,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Jayantabhai Ki Luv Story,"['Action', 'Comedy', 'Romance', 'Back to top']"
Flight,"['Action', 'Thriller', 'Back to top']"
Mili,"['Drama', 'Family', 'Musical', 'Romance', 'Back to top']"
Ammaa Ki Boli,"['Comedy', 'Drama', 'Back to top']"
Yeh Majhdhaar,"['Drama', 'Romance', 'Back to top']"
Phoonk,"['Drama', 'Horror', 'Mystery', 'Thriller', 'Back to top']"
Khamoshiyan,"['Drama', 'Horror', 'Romance', 'Thriller', 'Back to top']"
Khelein Hum Jee Jaan Sey,"['Action', 'Drama', 'History', 'Back to top']"
Vishwatma,"['Action', 'Drama', 'Thriller', 'Back to top']"
Yeh Ballet,"['Drama', 'Musical', 'Back to top']"
Shaadi Karke Phas Gaya Yaar,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Bade Dilwala,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Barot House,"['Mystery', 'Thriller', 'Back to top']"
Karzzzz,"['Action', 'Drama', 'Musical', 'Romance', 'Thriller', 'Back to top']"
Samrat & Co.,"['Mystery', 'Thriller', 'Back to top']"
Aashayein,"['Drama', 'Back to top']"
Pizza,"['Horror', 'Mystery', 'Thriller', 'Back to top']"
Jail,"['Drama', 'Back to top']"
Ajooba,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Back to top']"
Zid,"['Erotic Thriller', 'Crime', 'Romance', 'Thriller', 'Back to top']"
16 December,"['Action', 'Thriller', 'Back to top']"
Tum Bin 2,"['Drama', 'Romance', 'Back to top']"
One Night Stand,"['Drama', 'Romance', 'Back to top']"
Nasha,"['Coming-of-Age', 'Steamy Romance', 'Drama', 'Romance', 'Back to top']"
Barsaat,"['Action', 'Romance', 'Back to top']"
Eiga Doraemon Shin Nobita to tetsujin heidan: Habatake tenshitachi,"['Anime', 'Action', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Sci-Fi', 'Back to top']"
Bangistan,"['Comedy', 'Drama', 'Back to top']"
Laadla,"['Drama', 'Family', 'Back to top']"
Road,"['Dark Comedy', 'Thriller', 'Back to top']"
Jis Desh Mein Ganga Rehta Hain,"['Comedy', 'Crime', 'Drama', 'Musical', 'Romance', 'Back to top']"
Alag: He Is Different.... He Is Alone...,"['Superhero', 'Action', 'Drama', 'Fantasy', 'Sci-Fi', 'Thriller', 'Back to top']"
Aksar,"['Erotic Thriller', 'Drama', 'Romance', 'Thriller', 'Back to top']"
Rudraksh,"['Action', 'Fantasy', 'Sci-Fi', 'Thriller', 'Back to top']"
Sainik,"['Action', 'Drama', 'Romance', 'Back to top']"
Saare Jahaan Se Mehnga...,"['Comedy', 'Drama', 'Back to top']"
Children of War,"['Drama', 'History', 'War', 'Back to top']"
Barah Aana,"['Comedy', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Wajah Tum Ho,"['Drama', 'Mystery', 'Romance', 'Thriller', 'Back to top']"
1921,"['Horror', 'Mystery', 'Romance', 'Back to top']"
'D',"['Crime', 'Drama', 'Thriller', 'Back to top']"
Monsoon Shootout,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Netaji Subhas Chandra Bose: The Forgotten Hero,"['Biography', 'Drama', 'History', 'War', 'Back to top']"
Mere Desh Ki Dharti,"['Comedy', 'Drama', 'Back to top']"
420 IPC,"['Crime', 'Back to top']"
Keemat: They Are Back,"['Action', 'Comedy', 'Drama', 'Back to top']"
Teesri Manzil,"['Comedy', 'Musical', 'Mystery', 'Romance', 'Thriller', 'Back to top']"
Haathi Mere Saathi,"['Drama', 'Family', 'Musical', 'Romance', 'Back to top']"
Yamla Pagla Deewana Phir Se...,"['Action', 'Comedy', 'Drama', 'Back to top']"
Naya Daur,"['Action', 'Drama', 'Musical', 'Romance', 'Back to top']"
Angrezi Mein Kehte Hain,"['Drama', 'Romance', 'Back to top']"
I Am 24,"['Comedy', 'Romance', 'Back to top']"
Katha,"['Comedy', 'Drama', 'Back to top']"
Kaali Khuhi,"['Drama', 'Horror', 'Mystery', 'Thriller', 'Back to top']"
Baton Baton Mein,"['Comedy', 'Romance', 'Back to top']"
Hanuman,"['Animation', 'Back to top']"
Chor Machaaye Shor,"['Action', 'Comedy', 'Back to top']"
Ghulam-E-Musthafa,"['Action', 'Crime', 'Drama', 'Back to top']"
Maa Tujhhe Salaam,"['Action', 'Drama', 'Back to top']"
Dil Kya Kare,"['Drama', 'Musical', 'Romance', 'Back to top']"
Firangi,"['Comedy', 'Drama', 'Back to top']"
Mujhe Kucch Kehna Hai,"['Drama', 'Romance', 'Back to top']"
Ek Ladka Ek Ladki,"['Comedy', 'Romance', 'Back to top']"
Do Knot Disturb,"['Comedy', 'Drama', 'Back to top']"
Baa Baaa Black Sheep,"['Action', 'Comedy', 'Crime', 'Romance', 'Back to top']"
Maine Dil Tujhko Diya,"['Action', 'Romance', 'Back to top']"
Woh 7 Din,"['Drama', 'Romance', 'Back to top']"
Naksha,"['Quest', 'Action', 'Adventure', 'Fantasy', 'Mystery', 'Thriller', 'Back to top']"
Ek Duuje Ke Liye,"['Drama', 'Musical', 'Romance', 'Back to top']"
Pal Pal Dil Ke Paas,"['Action', 'Drama', 'Romance', 'Back to top']"
The Killer,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Bombay to Goa,"['Action', 'Adventure', 'Comedy', 'Crime', 'Back to top']"
Jodi Breakers,"['Comedy', 'Musical', 'Romance', 'Back to top']"
Banjo,"['Action', 'Drama', 'Music', 'Back to top']"
Krishna Cottage,"['Supernatural Horror', 'Horror', 'Mystery', 'Romance', 'Thriller', 'Back to top']"
Mission Istaanbul: Darr Ke Aagey Jeet Hai!,"['Action', 'Adventure', 'Drama', 'Mystery', 'Thriller', 'Back to top']"
I See You,"['Comedy', 'Drama', 'Fantasy', 'Romance', 'Back to top']"
Dillagi,"['Drama', 'Musical', 'Romance', 'Back to top']"
...Yahaan,"['Drama', 'Romance', 'War', 'Back to top']"
Jungle,"['Jungle Adventure', 'Action', 'Adventure', 'Romance', 'Thriller', 'Back to top']"
The Train: Some Lines Should Never Be Crossed...,"['Crime', 'Drama', 'Thriller', 'Back to top']"
Kya Meri Sonam Gupta Bewafa Hai,"['Comedy', 'Romance', 'Back to top']"
Dilwaala,"['Action', 'Comedy', 'Drama', 'Romance', 'Back to top']"
Kareeb,"['Drama', 'Romance', 'Back to top']"
Raakh,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Helicopter Eela,"['Drama', 'Back to top']"
Awwal Number,"['Action', 'Drama', 'Sport', 'Thriller', 'Back to top']"
Asthram,"['Action', 'Crime', 'Thriller', 'Back to top']"
Armaan,"['Drama', 'Family', 'Romance', 'Back to top']"
Sapoot,"['Action', 'Crime', 'Drama', 'Romance', 'Back to top']"
Ramji Londonwaley,"['Comedy', 'Drama', 'Family', 'Romance', 'Back to top']"
Yeshwant,"['Action', 'Crime', 'Drama', 'Back to top']"
Patthar Ke Phool,"['Action', 'Drama', 'Romance', 'Back to top']"
Joru Ka Ghulam,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Muskurahatein,"['Romance', 'Back to top']"
Shikhar,"['Drama', 'Back to top']"
C Kkompany,"['Comedy', 'Drama', 'Thriller', 'Back to top']"
Satellite Shankar,"['Action', 'Drama', 'Back to top']"
Suryavanshi,"['Action', 'Fantasy', 'Horror', 'Romance', 'Back to top']"
Jajantaram Mamantaram,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Back to top']"
Depth of Pyaar,"['Crime', 'Drama', 'Family', 'Mystery', 'Romance', 'Thriller', 'Back to top']"
Jaagruti,"['Action', 'Drama', 'Back to top']"
Parampara,"['Action', 'Drama', 'Romance', 'Back to top']"
Kadvi Hawa,"['Drama', 'Back to top']"
Dharm,"['Drama', 'History', 'Back to top']"
Chippa,"['Drama', 'Back to top']"
Main Aisa Hi Hoon,"['Drama', 'Family', 'Musical', 'Back to top']"
Liar's Dice,"['Adventure', 'Drama', 'Family', 'Back to top']"
Khoon Bhari Maang,"['Action', 'Drama', 'Thriller', 'Back to top']"
Guddi,"['Comedy', 'Drama', 'Family', 'Back to top']"
Daud: Fun on the Run,"['Action', 'Adventure', 'Comedy', 'Romance', 'Thriller', 'Back to top']"
Hum Bhi Akele Tum Bhi Akele,"['Road Trip', 'Romance', 'Back to top']"
Naam,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Fugly,"['Comedy', 'Drama', 'Thriller', 'Back to top']"
Woh Kaun Thi?,"['Drama', 'Mystery', 'Romance', 'Thriller', 'Back to top']"
Aetbaar,"['Action', 'Drama', 'Musical', 'Thriller', 'Back to top']"
Ye Mard Bechara,"['Comedy', 'Back to top']"
Paltan,"['Action', 'Drama', 'History', 'War', 'Back to top']"
Kurukshetra,"['Action', 'Crime', 'Drama', 'Back to top']"
Blank,"['Action', 'Thriller', 'Back to top']"
Auzaar,"['Action', 'Drama', 'Musical', 'Thriller', 'Back to top']"
100 Days,"['Horror', 'Romance', 'Thriller', 'Back to top']"
Satyam Shivam Sundaram: Love Sublime,"['Drama', 'Musical', 'Romance', 'Back to top']"
Shahrukh Bola 'Khoobsurat Hai Tu'... And She Believed in It,"['Comedy', 'Drama', 'Back to top']"
Shola Aur Shabnam,"['Action', 'Comedy', 'Drama', 'Romance', 'Back to top']"
Naram Garam,"['Comedy', 'Drama', 'Back to top']"
Shirin Farhad Ki Toh Nikal Padi,"['Romance', 'Back to top']"
Love Breakups Zindagi,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Mudda 370 J&K,"['Action', 'Drama', 'Back to top']"
Department,"['Action', 'Crime', 'Thriller', 'Back to top']"
Sonali Cable,"['Comedy', 'Drama', 'Back to top']"
Malaal,"['Action', 'Drama', 'Romance', 'Back to top']"
Striker,"['True Crime', 'Action', 'Crime', 'Drama', 'Back to top']"
Sorry Bhai!,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Maharathi,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Back to top']"
3 AM: A Paranormal Experience,"['Horror', 'Romance', 'Back to top']"
Where's the Party Yaar?,"['Comedy', 'Back to top']"
Dishkiyaoon,"['Action', 'Thriller', 'Back to top']"
Ek Niranjan,"['Action', 'Back to top']"
Nagina,"['Fantasy', 'Romance', 'Back to top']"
Ekta,"['Horror', 'Mystery', 'Thriller', 'Back to top']"
Kuselan,"['Comedy', 'Drama', 'Family', 'Back to top']"
Bhaag Johnny,"['Action', 'Fantasy', 'Thriller', 'Back to top']"
Nadiya Ke Paar,"['Drama', 'Romance', 'Back to top']"
Do Aur Do Paanch,"['Action', 'Comedy', 'Drama', 'Musical', 'Romance', 'Back to top']"
Ram Teri Ganga Maili,"['Drama', 'Musical', 'Romance', 'Back to top']"
Kati Patang,"['Drama', 'Family', 'Musical', 'Romance', 'Back to top']"
Bypass Road,"['Drama', 'Mystery', 'Thriller', 'Back to top']"
Khamosh,"['Dark Comedy', 'Mystery', 'Thriller', 'Back to top']"
I Am,"['Drama', 'Back to top']"
Kasoor,"['Legal Thriller', 'Drama', 'Mystery', 'Thriller', 'Back to top']"
