,imdb-id,movie_name,year_of_release,runtime,IMDB_rating,no_of_votes,plot_description,director,actors
4540,tt4682128,Redrum,(2018),101 min,4.1,38,"Daksh successfully goes on to become a singing sensation but his insecurities get the best of him. While his love for Aarika grows, so does his inclination for drugs that leads to his downfall.",Dhruv,"    Dhruv, Sourabh|     Vibhav Roy, Saeeda Imtiaz, Tom Alter, Darryl Knight"
4541,tt3893476,Spark,(III) (2014),134 min,6.0,38,The story is about a local Indian lad Arjun (Rajneesh Duggal) who falls in love with Anupama (Shubhashree Ganguly) while he is studying in Germany. They soon become passionate lovers ...                See full summary »,V.K. Singh,"    V.K. Singh|     Rati Agnihotri, Mansha Bahl, Ranjeet Bedi, Rajneesh Duggal"
4542,tt3673974,Maa Ki Shakti,(1996), ,7.6,38,Add a Plot,V.K. Singh,"                Babu Mohan, Rami Reddy, Soundarya"
4543,tt3443288,Sheetalbhabi.com,(2011),115 min,4.0,38,4 friends try to sleep with their best friend's wife.,C.M. Jain,"    C.M. Jain|     Jatin Garewal, Hina Tasleem, Monalisa, Vikas Kalantri"
4544,tt3317750,Love School Life,(2015), ,7.2,38,One average student struggle to make his life better and what are the problems he faces in life to make it better.,Anirudh Baboo,"    Anirudh Baboo|     Pranav Parab, Leah Liz Jacob, Vishnu Ranjith, Shivangi Rathour"
4545,tt2894564,Nippu Ravva,(1993), ,7.3,38,"A young police officer is loyal towards his work but quite aggressive in nature. However, things take a turn when a criminal drags him into the deceitful world of crime.",A. Kodandarami Reddy,"    A. Kodandarami Reddy|     Nandamuri Balakrishna, Vijayshanti, Amrish Puri, Raogopalrao"
4546,tt1219317,Be-Shaque,(1981),121 min,6.3,38,"Shyam Sunder lives a wealthy lifestyle in a small village in India along with his widowed step-mother, Nirmala. He has taken to alcohol, and womanizing, goes away very often without ...                See full summary »",Kashinath,"    Kashinath|     Mithun Chakraborty, Amrish Puri, Sonia Sahni, Jalal Agha"
4547,tt10133680,Kasaai,(2019),96 min,6.5,38,A mother struggles to get justice for her son who gets killed under unusual circumstances as the family tries to cover up the crime in the backdrop of impending village council elections.,Gajendra Shanker Shrotriya,"    Gajendra Shanker Shrotriya|     Raman Atre, Ashok Banthia, Amit Bimrot, Ravi Jhankal"
4548,tt0872295,Shoonya,(2006),100 min,7.2,38,Add a Plot,Arindam Mitra,"    Arindam Mitra|     Sohrab Ardeshir, Seema Biswas, Tulip Joshi, Ninad Kamat"
4549,tt0833978,Mere Baad,(1988),140 min,6.9,38,Tragedy strikes and tears a family apart. Anupam Kher and Raakhee have a happy family of four children. An industrial accident causes him to loose his arms and lead a disabled life. At the ...                See full summary »,Vishwamitra,"    Vishwamitra|     Maya Alagh, Beena Banerjee, Anil Dhawan, Rakhee Gulzar"
