,imdb-id,movie_name,year_of_release,runtime,IMDB_rating,no_of_votes,plot_description,director,actors
0,tt10811166,The Kashmir Files,(2022),170 min,8.3,"548,031","The Kashmir Files' is a story, based on video interviews of the first generation victims of the Genocide of Kashmiri Pandit Community In 1990.",Vivek Agnihotri,"    Vivek Agnihotri|     Mithun Chakraborty, Anupam Kher, Darshan Kumaar, Pallavi Joshi"
1,tt1187043,3 Idiots,(2009),170 min,8.4,"387,020","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,"    Rajkumar Hirani|     Aamir Khan, Madhavan, Mona Singh, Sharman Joshi"
2,tt0986264,Taare Zameen Par,(2007),165 min,8.3,"188,938","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",Aamir Khan,"    Aamir Khan, Amole Gupte|     Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma"
3,tt5074352,Dangal,(2016),161 min,8.3,"183,452",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Nitesh Tiwari,"    Nitesh Tiwari|     Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra"
4,tt2338151,PK,(2014),153 min,8.1,"180,108",An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,Rajkumar Hirani,"    Rajkumar Hirani|     Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani"
5,tt2239822,Valerian and the City of a Thousand Planets,(2017),136 min,6.4,"178,452","A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe.",Luc Besson,"    Luc Besson|     Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna"
6,tt10888594,Radhe,(2021),135 min,1.9,"176,724","After taking the dreaded gangster Gani Bhai, ACP Rajveer Shikawat aka Radhe goes on a manhunt to find the wealthiest man of the town secretly running a crime syndicate.",Prabhu Deva,"    Prabhu Deva|     Salman Khan, Disha Patani, Randeep Hooda, Jackie Shroff"
7,tt8110330,Dil Bechara,(2020),101 min,8.1,"128,813","The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group.",Mukesh Chhabra,"    Mukesh Chhabra|     Sushant Singh Rajput, Sanjana Sanghi, Sahil Vaid, Saswata Chatterjee"
8,tt0405508,Rang De Basanti,(2006),167 min,8.1,"118,221","The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",Rakeysh Omprakash Mehra,"    Rakeysh Omprakash Mehra|     Aamir Khan, Soha Ali Khan, Siddharth, Sharman Joshi"
9,tt10295212,Shershaah,(2021),135 min,8.4,"117,190","The story of PVC awardee Indian soldier Capt. Vikram Batra, who shot to fame and became a household name during the Kargil War in 1999.",Vishnuvardhan,"    Vishnuvardhan|     Sidharth Malhotra, Kiara Advani, Shiv Panditt, Pranay Pachauri"
10,tt0169102,Lagaan: Once Upon a Time in India,(2001),224 min,8.1,"112,262",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,Ashutosh Gowariker,"    Ashutosh Gowariker|     Aamir Khan, Raghuvir Yadav, Gracy Singh, Rachel Shelley"
11,tt1188996,My Name Is Khan,(2010),165 min,7.9,"105,502",An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,Karan Johar,"    Karan Johar|     Shah Rukh Khan, Kajol, Sheetal Menon, Katie Amanda Keane"
12,tt7886848,Sadak 2,(2020),133 min,1.1,"94,787","The film picks up where Sadak left off, revolving around the journey with a young girl who becomes an important character in the life of the protagonist, and the reason for him to stay alive.",Mahesh Bhatt,"    Mahesh Bhatt|     Alia Bhatt, Sanjay Dutt, Priyanka Bose, Aditya Roy Kapoor"
13,tt1954470,Gangs of Wasseypur,(2012),321 min,8.2,"93,896","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Anurag Kashyap,"    Anurag Kashyap|     Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui, Tigmanshu Dhulia"
14,tt8108198,Andhadhun,(2018),139 min,8.2,"89,460","A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",Sriram Raghavan,"    Sriram Raghavan|     Ayushmann Khurrana, Tabu, Radhika Apte, Anil Dhawan"
15,tt0367110,"Swades: We, the People",(2004),210 min,8.1,"89,238",A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,Ashutosh Gowariker,"    Ashutosh Gowariker|     Shah Rukh Khan, Gayatri Joshi, Kishori Ballal, Smith Seth"
16,tt3863552,Bajrangi Bhaijaan,(2015),163 min,8.1,"85,251",An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,Kabir Khan,"    Kabir Khan|     Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor"
17,tt2082197,Barfi!,(2012),151 min,8.1,"80,884",Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,Anurag Basu,"    Anurag Basu|     Ranbir Kapoor, Priyanka Chopra Jonas, Ileana D'Cruz, Saurabh Shukla"
18,tt0374887,Munna Bhai M.B.B.S.,(2003),156 min,8.1,"80,493",A gangster sets out to fulfill his father's dream of becoming a doctor.,Rajkumar Hirani,"    Rajkumar Hirani|     Sanjay Dutt, Arshad Warsi, Gracy Singh, Boman Irani"
19,tt4430212,Drishyam,(2015),163 min,8.2,"79,848","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",Nishikant Kamat,"    Nishikant Kamat|     Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor"
20,tt0871510,Chak De! India,(2007),153 min,8.1,"79,266","Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",Shimit Amin,"    Shimit Amin|     Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge, Shilpa Shukla"
21,tt1562872,Zindagi Na Milegi Dobara,(2011),155 min,8.1,"76,141",Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,Zoya Akhtar,"    Zoya Akhtar|     Hrithik Roshan, Farhan Akhtar, Abhay Deol, Katrina Kaif"
22,tt9531772,Sooryavanshi,(2021),145 min,6.4,"75,379","Sooryavanshi traces the acts and serious antics of DCP Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India.",Rohit Shetty,"    Rohit Shetty|     Akshay Kumar, Katrina Kaif, Ajay Devgn, Ranveer Singh"
23,tt10280276,Coolie No. 1,(2020),134 min,4.2,"73,288","After being insulted by a rich businessman named Rosario, pandit Jai Kishen teaches him a lesson by getting his daughter married to Raju - a Coolie posing as a millionaire.",David Dhawan,"    David Dhawan|     Varun Dhawan, Sara Ali Khan, Paresh Rawal, Jaaved Jaaferi"
24,tt0292490,Dil Chahta Hai,(2001),183 min,8.1,"71,311","Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",Farhan Akhtar,"    Farhan Akhtar|     Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity Zinta"
25,tt0347304,Kal Ho Naa Ho,(2003),186 min,7.9,"68,228","Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",Nikkhil Advani,"    Nikkhil Advani|     Preity Zinta, Shah Rukh Khan, Saif Ali Khan, Jaya Bachchan"
26,tt2356180,Bhaag Milkha Bhaag,(2013),186 min,8.2,"66,926","The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition.",Rakeysh Omprakash Mehra,"    Rakeysh Omprakash Mehra|     Farhan Akhtar, Japtej Singh, Divya Dutta, Pawan Malhotra"
27,tt0242519,Hera Pheri,(2000),156 min,8.1,"65,258","Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",Priyadarshan,"    Priyadarshan|     Akshay Kumar, Suniel Shetty, Paresh Rawal, Tabu"
28,tt3322420,Queen,(2013),146 min,8.1,"65,201",A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,Vikas Bahl,"    Vikas Bahl|     Kangana Ranaut, Rajkummar Rao, Lisa Haydon, Jeffrey Ho"
29,tt1821480,Kahaani,(2012),122 min,8.1,"62,322","A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",Sujoy Ghosh,"    Sujoy Ghosh|     Vidya Balan, Parambrata Chattopadhyay, Indraneil Sengupta, Nawazuddin Siddiqui"
30,tt5461944,Hotel Mumbai,(2018),123 min,7.6,"61,895",The true story of the Taj Hotel terrorist attack in Mumbai. Hotel staff risk their lives to keep everyone safe as people make unthinkable sacrifices to protect themselves and their families.,Anthony Maras,"    Anthony Maras|     Dev Patel, Armie Hammer, Nazanin Boniadi, Anupam Kher"
31,tt1166100,Ghajini,(2008),186 min,7.3,"60,276",A short-term memory loss patient sets out on his journey to avenge the death of his beloved girl.,A.R. Murugadoss,"    A.R. Murugadoss|     Aamir Khan, Asin Thottumkal, Jiah Khan, Pradeep Singh Rawat"
32,tt8291224,Uri: The Surgical Strike,(2019),138 min,8.2,"59,088","Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",Aditya Dhar,"    Aditya Dhar|     Vicky Kaushal, Paresh Rawal, Mohit Raina, Yami Gautam"
33,tt6571548,The White Tiger,(2021),125 min,7.1,"59,044",An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.,Ramin Bahrani,"    Ramin Bahrani|     Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas, Vedant Sinha"
34,tt2574698,Gunday,(2014),152 min,2.6,"58,985","The lives of Calcutta's most powerful Gunday, Bikram and Bala, changes when Nandita enters it. Then a counter-force takes charge and a thriller unfolds.",Ali Abbas Zafar,"    Ali Abbas Zafar|     Ranveer Singh, Arjun Kapoor, Priyanka Chopra Jonas, Irrfan Khan"
35,tt2283748,OMG: Oh My God!,(2012),125 min,8.1,"57,647",A shopkeeper takes God to court when his shop is destroyed by an earthquake.,Umesh Shukla,"    Umesh Shukla|     Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Mahesh Manjrekar"
36,tt3848892,Baby,(I) (2015),159 min,7.9,"57,067","An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",Neeraj Pandey,"    Neeraj Pandey|     Akshay Kumar, Danny Denzongpa, Rana Daggubati, Taapsee Pannu"
37,tt10350922,Laxmii,(2020),141 min,2.6,"56,834","Aasif visits his wife's parents' house and happens to go to a ground that is supposedly haunted. However, he is soon possessed by the spirit of a transgender who is out for revenge.",Lawrence Raghavendra,"    Lawrence Raghavendra, Balakrishnan Thevar|     Akshay Kumar, Kiara Advani, Sharad Kelkar, Ashwini Kalsekar"
38,tt4387040,Airlift,(2016),130 min,7.9,"56,518","When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",Raja Menon,"    Raja Menon|     Akshay Kumar, Nimrat Kaur, Kumud Mishra, Prakash Belawadi"
39,tt2377938,Special Chabbis,(2013),144 min,8.0,"55,637",A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,Neeraj Pandey,"    Neeraj Pandey|     Akshay Kumar, Anupam Kher, Manoj Bajpayee, Jimmy Shergill"
40,tt2350496,The Lunchbox,(2013),104 min,7.8,"55,434",A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,Ritesh Batra,"    Ritesh Batra|     Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui, Lillete Dubey"
41,tt0073707,Sholay,(1975),204 min,8.1,"55,091","After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",Ramesh Sippy,"    Ramesh Sippy|     Sanjeev Kumar, Dharmendra, Amitabh Bachchan, Amjad Khan"
42,tt3390572,Haider,(2014),160 min,8.1,"54,562","A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",Vishal Bhardwaj,"    Vishal Bhardwaj|     Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon"
43,tt2176013,Jab Tak Hai Jaan,(2012),198 min,6.7,"54,348",A woman is made to realize that her prayers and sacrifice to save her boyfriend's life may have led him to a fate worse than death.,Yash Chopra,"    Yash Chopra|     Shah Rukh Khan, Katrina Kaif, Anushka Sharma, Anupam Kher"
44,tt4169250,M.S. Dhoni: The Untold Story,(2016),184 min,7.9,"54,104",The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,Neeraj Pandey,"    Neeraj Pandey|     Sushant Singh Rajput, Abhinay Raj Singh, Kiara Advani, Anupam Kher"
45,tt2112124,Chennai Express,(2013),141 min,6.0,"53,602",A man heading towards Rameshwaram via Chennai express to immerse his late grandfather's ashes unwillingly gets caught amidst goons after helping their boss's daughter and them board the train.,Rohit Shetty,"    Rohit Shetty|     Deepika Padukone, Shah Rukh Khan, Sathyaraj, Abhinay Raj Singh"
46,tt6452574,Sanju,(2018),155 min,7.6,"53,387","Biopic of the controversial life of actor Sanjay Dutt: his film career, jail sentence, and personal life.",Rajkumar Hirani,"    Rajkumar Hirani|     Ranbir Kapoor, Paresh Rawal, Manisha Koirala, Vicky Kaushal"
47,tt0109117,Andaz Apna Apna,(1994),160 min,8.0,"52,906",Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,Rajkumar Santoshi,"    Rajkumar Santoshi|     Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor"
48,tt1285241,Don 2,(2011),148 min,7.0,"52,518","Don turns himself in and escapes with Vardhaan from prison, following which he recruits a team to steal currency printing plates from a bank in Berlin.",Farhan Akhtar,"    Farhan Akhtar|     Shah Rukh Khan, Florian Lukas, Om Puri, Priyanka Chopra Jonas"
49,tt0420332,Veer-Zaara,(2004),192 min,7.8,"52,354","Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever.",Yash Chopra,"    Yash Chopra|     Shah Rukh Khan, Preity Zinta, Rani Mukerji, Kirron Kher"
50,tt1093370,Jab We Met,(2007),138 min,7.9,"52,162",A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,Imtiaz Ali,"    Imtiaz Ali|     Shahid Kapoor, Kareena Kapoor, Tarun Arora, Dara Singh Randhawa"
51,tt0172684,Kuch Kuch Hota Hai,(1998),177 min,7.6,"51,796","During their college years, Anjali was in love with her best-friend Rahul, but he had eyes only for Tina. Years later, Rahul and the now-deceased Tina's eight-year-old daughter attempts to reunite her father and Anjali.",Karan Johar,"    Karan Johar|     Shah Rukh Khan, Kajol, Rani Mukerji, Sana Saeed"
52,tt9052870,Chhichhore,(2019),143 min,8.2,"50,248","A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",Nitesh Tiwari,"    Nitesh Tiwari|     Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma, Prateik Babbar"
53,tt1182937,Rab Ne Bana Di Jodi,(2008),167 min,7.2,"47,536","A breathtaking, goose flesh igniting, awe inspiring love journey of an ordinary man Suri and his 'total opposite' love Taani.",Aditya Chopra,"    Aditya Chopra|     Shah Rukh Khan, Anushka Sharma, Vinay Pathak, M.K. Raina"
54,tt10083340,Gangubai Kathiawadi,(2022),152 min,7.0,"47,366",A woman becomes a powerful underworld figure.,Sanjay Leela Bhansali,"    Sanjay Leela Bhansali|     Alia Bhatt, Shantanu Maheshwari, Vijay Raaz, Indira Tiwari"
55,tt0456144,Lage Raho Munna Bhai,(2006),144 min,8.0,"46,540",Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,Rajkumar Hirani,"    Rajkumar Hirani|     Sanjay Dutt, Arshad Warsi, Vidya Balan, Boman Irani"
56,tt7431594,Race 3,(2018),160 min,1.9,"46,124",Relationships and loyalties of a criminal family planning its next big heist are tested when some shocking revelations strike them.,Remo D'Souza,"    Remo D'Souza|     Anil Kapoor, Salman Khan, Bobby Deol, Jacqueline Fernandez"
57,tt1833673,Dhoom:3,(2013),172 min,5.3,"45,690","When Sahir, a circus entertainer trained in magic and acrobatics, turns into a thief to take down a corrupt bank in Chicago that ruined his father, Indian officers Jai and Ali are called to catch him.",Vijay Krishna Acharya,"    Vijay Krishna Acharya|     Aamir Khan, Katrina Kaif, Abhishek Bachchan, Uday Chopra"
58,tt4832640,Sultan,(2016),170 min,7.0,"45,485","Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds.",Ali Abbas Zafar,"    Ali Abbas Zafar|     Salman Khan, Kubbra Sait, Anushka Sharma, Randeep Hooda"
59,tt3495026,Fan,(I) (2016),142 min,6.9,"45,310","Gaurav develops an obsession with a movie star who looks just like him. He goes to Bombay to meet his idol, but he refuses to grant him five minutes of his time. Gaurav is enraged and plots to destroy his hero.",Maneesh Sharma,"    Maneesh Sharma|     Shah Rukh Khan, Shriya Pilgaonkar, Sayani Gupta, Waluscha De Sousa"
60,tt1639426,Udaan,(2010),134 min,8.1,"44,774","Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",Vikramaditya Motwane,"    Vikramaditya Motwane|     Rajat Barmecha, Ronit Roy, Manjot Singh, Ram Kapoor"
61,tt5571734,Pink,(III) (2016),136 min,8.1,"44,290","When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",Aniruddha Roy Chowdhury,"    Aniruddha Roy Chowdhury|     Taapsee Pannu, Amitabh Bachchan, Kirti Kulhari, Andrea Tariang"
62,tt3405236,Raees,(2017),143 min,6.7,"43,994",A bootlegger sets out to improve his community as a promising leader but falls in a political trap.,Rahul Dholakia,"    Rahul Dholakia|     Raj Arjun, Shah Rukh Khan, Shubham Chintamani, Shubham Tukaram"
63,tt1839596,Rockstar,(2011),159 min,7.7,"43,771","Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer.",Imtiaz Ali,"    Imtiaz Ali|     Ranbir Kapoor, Nargis Fakhri, Shammi Kapoor, Kumud Mishra"
64,tt2178470,Yeh Jawaani Hai Deewani,(2013),160 min,7.2,"43,575","Kabir and Naina bond during a trekking trip. Before Naina can express herself, Kabir leaves India to pursue his career. They meet again years later, but he still cherishes his dreams more than bonds.",Ayan Mukherjee,"    Ayan Mukherjee|     Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapoor, Kalki Koechlin"
65,tt1024943,Om Shanti Om,(2007),162 min,6.7,"42,782","In the 1970s, Om, an aspiring actor, is murdered, but is immediately reincarnated into the present day. He attempts to discover the mystery of his demise and find Shanti, the love of his previous life.",Farah Khan,"    Farah Khan|     Shah Rukh Khan, Deepika Padukone, Arjun Rampal, Kirron Kher"
66,tt8239946,Tumbbad,(2018),104 min,8.2,"42,016",A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,Rahi Anil Barve,"    Rahi Anil Barve, Anand Gandhi, Adesh Prasad|     Sohum Shah, Jyoti Malshe, Anita Date-Kelkar, Ronjini Chakraborty"
67,tt1787988,Talaash,(2012),140 min,7.2,"42,013","Inspector Surjan Shekhawat, who is dealing with a depressing past, has to investigate a high profile murder case, deal with his crumbling marriage and use the help and solace of a prostitute by the name of Rosie.",Reema Kagti,"    Reema Kagti, Priyamvada Narayanan|     Aamir Khan, Kareena Kapoor, Rani Mukerji, Nawazuddin Siddiqui"
68,tt0238936,Devdas,(I) (2002),185 min,7.5,"41,671","After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain.",Sanjay Leela Bhansali,"    Sanjay Leela Bhansali|     Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit, Jackie Shroff"
69,tt10733228,Gehraiyaan,(2022),148 min,6.2,"41,645",Takes you on a journey into the deep rooted intricacies of modern human relationships.,Shakun Batra,"    Shakun Batra|     Deepika Padukone, Naseeruddin Shah, Ananya Panday, Siddhant Chaturvedi"
70,tt13491110,Antim: The Final Truth,(2021),138 min,6.9,"40,058",The cop played by Salman fights the land mafia in the film.,Mahesh Manjrekar,"    Mahesh Manjrekar|     Salman Khan, Aayush Sharma, Mahima Makwana, Mahesh Manjrekar"
71,tt13510660,Dhamaka,(2021),103 min,7.3,"39,789","Reassigned from TV to radio, a frustrated anchor sees both danger and opportunity when he receives threatening calls on the air.",Ram Madhvani,"    Ram Madhvani|     Kartik Aaryan, Mohammed Mansoor, Mrunal Thakur, Amruta Subhash"
72,tt10280296,Sardar Udham,(2021),164 min,8.5,"39,495",A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.,Shoojit Sircar,"    Shoojit Sircar|     Vicky Kaushal, Shaun Scott, Stephen Hogan, Amol Parashar"
73,tt5946128,Dear Zindagi,(2016),151 min,7.4,"39,464","Kaira is a budding cinematographer in search of a perfect life. Her encounter with Jug, an unconventional thinker, helps her gain a new perspective on life. She discovers that happiness is all about finding comfort in life's imperfections.",Gauri Shinde,"    Gauri Shinde|     Alia Bhatt, Shah Rukh Khan, Kunal Kapoor, Priyanka Moodley"
74,tt2395469,Gully Boy,(2019),154 min,7.9,"38,342",A coming-of-age story based on the lives of street rappers in Mumbai.,Zoya Akhtar,"    Zoya Akhtar|     Ranveer Singh, Alia Bhatt, Siddhant Chaturvedi, Vijay Raaz"
75,tt7212754,Ludo,(2020),149 min,7.6,"38,315","From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal.",Anurag Basu,"    Anurag Basu|     Pankaj Tripathi, Abhishek Bachchan, Rajkummar Rao, Fatima Sana Shaikh"
76,tt10895576,Mimi,(I) (2021),132 min,7.9,"37,661",Mimi is introduced by Bhanu to an American couple as a surrogate in exchange for Rs 2 million. She decides to have the baby even when they change their mind and tells her parent that Bhanu is the father.,Rajesh Bhatia,"    Rajesh Bhatia, Laxman Utekar|     Kriti Sanon, Evelyn Edwards, Pankaj Tripathi, Sai Tamhankar"
77,tt0461936,Don,(I) (2006),178 min,7.1,"36,957","Vijay is recruited by a police officer to masquerade as his lookalike Don, the leader of an international gang of smugglers. Things go wrong when the officer is killed and Vijay is left to fend for himself.",Farhan Akhtar,"    Farhan Akhtar|     Shah Rukh Khan, Priyanka Chopra Jonas, Arjun Rampal, Isha Koppikar"
78,tt2461132,Happy New Year,(I) (2014),180 min,4.9,"36,805",A gang of amateur dancers takes part in a dancing competition to avenge their personal vendetta.,Farah Khan,"    Farah Khan|     Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan, Anupam Kher"
79,tt2213054,Kai po che!,(2013),130 min,7.7,"36,654",Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.,Abhishek Kapoor,"    Abhishek Kapoor|     Amit Sadh, Sushant Singh Rajput, Rajkummar Rao, Amrita Puri"
80,tt1620933,Paan Singh Tomar,(2012),135 min,8.2,"35,985","The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",Tigmanshu Dhulia,"    Tigmanshu Dhulia|     Irrfan Khan, Mahie Gill, Rajesh Abhay, Hemendra Dandotiya"
81,tt0347473,Main Hoon Na,(2004),179 min,7.0,"35,276","An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother.",Farah Khan,"    Farah Khan|     Shah Rukh Khan, Sushmita Sen, Suniel Shetty, Zayed Khan"
82,tt4934950,Talvar,(2015),132 min,8.1,"34,782",An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,Meghna Gulzar,"    Meghna Gulzar|     Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah"
83,tt0375611,Black,(2005),122 min,8.1,"34,778","The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world.",Sanjay Leela Bhansali,"    Sanjay Leela Bhansali|     Amitabh Bachchan, Rani Mukerji, Shernaz Patel, Ayesha Kapoor"
84,tt10350626,Gunjan Saxena: The Kargil Girl,(2020),112 min,5.5,"34,474",Inspired by the life of a fearless young officer who made history by becoming the first Indian female Air Force officer to fly in a combat zone during the 1999 Kargil War,Sharan Sharma,"    Sharan Sharma|     Janhvi Kapoor, Pankaj Tripathi, Angad Bedi, Manav Vij"
85,tt11045422,Toofaan,(2021),163 min,5.7,"34,460",The story of a boxer and the struggles he faces on his journey to get to the national level competition.,Rakeysh Omprakash Mehra,"    Rakeysh Omprakash Mehra|     Farhan Akhtar, Mrunal Thakur, Paresh Rawal, Mohan Agashe"
86,tt3735246,Bajirao Mastani,(2015),158 min,7.2,"34,410","An account of the romance between the Maratha general, Baji Rao I and Mastani, princess of Bundelkhand.",Sanjay Leela Bhansali,"    Sanjay Leela Bhansali|     Ranveer Singh, Deepika Padukone, Priyanka Chopra Jonas, Tanvi Azmi"
87,tt4535650,Dilwale,(2015),158 min,5.0,"34,384","The siblings of two estranged lovers fall for each other, unaware of the violent past that drove them apart.",Rohit Shetty,"    Rohit Shetty|     Shah Rukh Khan, Kriti Sanon, Kajol, Varun Dhawan"
88,tt2016894,Ek Tha Tiger,(2012),132 min,5.5,"34,179",India's top spy Tiger and his love Zoya battle the dark world of intelligence and espionage that forbids its soldiers from loving the enemy.,Kabir Khan,"    Kabir Khan|     Salman Khan, Katrina Kaif, Girish Karnad, Roshan Seth"
89,tt10699086,Bachchhan Paandey,(2022),147 min,5.9,"34,089",A budding director tries to research a merciless gangster for making a film on gangster-ism. But her secret attempts to conduct the research fail when she gets caught for snooping.,Farhad Samji,"    Farhad Samji|     Akshay Kumar, Kriti Sanon, Jacqueline Fernandez, Pankaj Tripathi"
90,tt7518786,83,(2021),162 min,7.5,"33,663","On June 25, 1983, the Lord's Cricket Ground witnessed 14 men beat the two times World Champions West Indies, putting India back onto the cricket world stage.",Kabir Khan,"    Kabir Khan|     Ranveer Singh, Deepika Padukone, Tahir Raj Bhasin, Jiiva"
91,tt7725596,Badhaai ho,(2018),124 min,8.0,"33,640",A man is embarrassed when he finds out his mother is pregnant.,Amit Ravindernath Sharma,"    Amit Ravindernath Sharma|     Ayushmann Khurrana, Neena Gupta, Gajraj Rao, Sanya Malhotra"
92,tt0066763,Anand,(1971),122 min,8.1,"33,523","The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",Hrishikesh Mukherjee,"    Hrishikesh Mukherjee|     Rajesh Khanna, Amitabh Bachchan, Sumita Sanyal, Ramesh Deo"
93,tt8108202,Stree,(2018),128 min,7.5,"33,231","In the small town of Chanderi, the menfolk live in fear of an evil spirit named ""Stree"" who abducts men in the night. Based on the urban legend of ""Nale Ba"" that went viral in Karnataka in the 1990s.",Amar Kaushik,"    Amar Kaushik|     Rajkummar Rao, Abhinay Raj Singh, Shraddha Kapoor, Pankaj Tripathi"
94,tt10964430,Thappad,(2020),142 min,7.2,"32,804",Thappad is a story of Amrita whose seemingly perfect life is shattered when her husband slaps her once in a party. But is one slap enough to question what a relationship stands for?,Anubhav Sinha,"    Anubhav Sinha|     Taapsee Pannu, Pavail Gulati, Kumud Mishra, Ratna Pathak Shah"
